textID	 # words 	genre	year	title	author	source
8550	 14,563 	FIC	1817	How to Try a Lover	Barker, James Nelson, 1784-1858	
8950	 11,075 	FIC	1827	Tancred	Stone, John Augustus, 1800-1834.	
8750	 1,936 	FIC	1830	Dramatic Sketch. Julian and Elphina	Lawson, James, 1799-1880	
8850	 6,482 	FIC	1831	The Evil Eye	Jones, George, 1810-1879	
7350	 44,074 	FIC	1836	The Partisan Leader: A Tale of the Future. By Edward William Sidney [pseud], Volume 1	Tucker, Nathaniel	
8650	 11,881 	FIC	1836	Tecumseh	Emmons, Richard, 1788-1834	
7250	 61,926 	FIC	1838	Charcoal Sketches; or, Scenes in a Metropolis	Neal, Joseph C. (Joseph Clay), 1807-1847	
7450	 18,817 	FIC	1845	The lost pleiad	Chivers, T. H. (Thomas Holley), 1809-1858	
7650	 124 	FIC	1847	Afterthought	Hoffman, Charles Fenno, 1806-1884	
9550	 4,362 	FIC	1868	Uncle Jeff	White, Charles, 1821-1891.	
5050	 70,484 	FIC	1873	Seven and Nine years Among the Camanches and Apaches An  Autobiography	Eastman, Edwin	
2650	 74,938 	FIC	1874	Idolatry A Romance	Hawthorne, Julian, 1846-1934	
9050	 15,848 	FIC	1874	Mark Twain's Sketches	Twain, Mark, 1835-1910	
9450	 25,517 	FIC	1877	Won at Last	MacKaye, Steele, 1842-1894.	
2450	 96,874 	FIC	1883	Doctor Claudius, A True Story	Crawford, F. Marion (Francis Marion), 1854-1909	
9250	 5,413 	FIC	1884	Mercedes	Aldrich, Thomas Bailey, 1836-1907	
4850	 39,892 	FIC	1888	A Brother To Dragons and Other Old-time Tales	Rives, Amélie, 1863-1945	
2950	 82,035 	FIC	1889	Medoline Selwyn's Work	Colter, Hattie E.	
4350	 51,484 	FIC	1890	Mizora: A Prophecy A MSS. Found Among the Private Papers of the Princess Vera Zarovitch	Lane, Mary E. Bradley	
3350	 79,950 	FIC	1896	We Ten Or, The Story of the Roses	Yechton, Barbara, [pseud.], 1864-1939	
9350	 2,485 	FIC	1896	Pleasant Companions	Dumont, Frank, 1848-1919	
850	 25,717 	FIC	1897	For Whom Shakespeare Wrote	Warner, Charles Dudley, 1829-1900	
3850	 2,825 	FIC	1900	The Little People of the Snow	Bryant, William Cullen, 1794-1878	
1150	 118,408 	FIC	1908	Peter: a novel of which he is not the hero	Smith, Francis Hopkinson, 1838-1915	Charles Scribner's Sons
2750	 52,711 	FIC	1910	Once Upon A Time	Davis, Richard Harding, 1864-1916	
13150	 9,365 	FIC	1910	The Neighbours	Gale, Zona, 1874-1938	[Play script]
5250	 8,479 	FIC	1915	Jimsy The Christmas Kid	Dalrymple, Leona, 1884-	
1550	 48,889 	FIC	1919	The Valley of Vision : a Book of Romance an Some Half Told Tales	Van Dyke, Henry, 1852-1933	Charles Scribner's Sons
550	 83,754 	FIC	1920	The Drums of Jeopardy	MacGrath, Harold, 1871-1932	
23150	 6,981 	FIC	1930	Violette: 	Vincent Sheean	Harpers Magazine (193008) pages: 287-297
5650	 14,365 	FIC	1933	Under Arctic Ice	Winter, H. G.	[Short story] In: New York
23250	 2,153 	FIC	1933	The man who knew everybody	Harold George, Sir Nicolson	Harpers Magazine (193308) pages: 325-328
10050	 50,456 	FIC	1934	Passions Spin the Plot	Vardis Fisher	Doubleday & Company, Inc.1960
23350	 4,650 	FIC	1937	Lady in trouble	Margery Sharp	Harpers Magazine (193708) pages: 275-282
16350	 30,452 	FIC	1938	Adventures of Tom Sawyer, The		[Movie script]
780150	 47,175 	FIC	1941	Delilah	Marcus Goodrich	New York: Rinehart & Company, Inc.
10150	 50,344 	FIC	1941	Whistle Stop	Maritta M. Wolff	Antheneum 1966
13850	 3,044 	FIC	1942	Coming Through the Rye	Saroyan, William, 1908-1981	[Play script]
23450	 3,688 	FIC	1943	The neutrals	Michael Sayers	Harpers Magazine (194302) pages: 324-329
1050	 7,258 	FIC	1946	The Parenticide Club	Bierce, Ambrose, 1842-1914?	[Short story] In: New York
781950	 48,699 	FIC	1946	Death of a Tall Man	Frances and Richard Lockridge	J.B. Lippincott Company
23550	 7,865 	FIC	1948	All prisoners here	Irving Pfeffer	Harpers Magazine (194804) pages: 370-380
10350	 38,197 	FIC	1956	Compulsion	Levin Meyer	
14150	 3,786 	FIC	1957	The Wreck of the Five-Twenty-Five	Wilder, Thornton Niven, 1897-1975	[Play script]
23750	 3,770 	FIC	1959	Mr. K*A*P*L*A*N and the glorious past (the second of three stories)	Leo Calvin Rosten	Harpers Magazine (195907) pages: 26-31
4150	 7,576 	FIC	1960	The Ambulance Made Two Trips	Leinster, Murray, 1896-1975	[Short story] In: Astounding Stories
16150	 19,230 	FIC	1961	Hustler, The		[Movie script]
10450	 48,258 	FIC	1964	Killer in the Rain	Raymond Chandler	
16750	 32,726 	FIC	1965	Ship of Fools		[Movie script]
23850	 5,061 	FIC	1968	Tourist and pilgrim	George P. Elliott	Harpers Magazine (196804) pages: 67-73
10550	 48,332 	FIC	1972	Open Heart	Frederick Buechner	
14650	 5,869 	FIC	1978	Abroad	Weller, Michael, 1942-	[Play script]
10650	 193,814 	FIC	1979	Passion Play	Jerzy Kosinski	
23950	 4,690 	FIC	1980	Papa takes a bride: 	Noriko Sawada	Harpers Magazine (198012) pages: 58-64
780050	 45,157 	FIC	1981	Murder on Capitol Hill 	Margaret Truman	New York: Arbor House
40350	 3,168 	FIC	1992	Redbeard the Pirate's Perfect Day	Winslow, Horatio	Saturday Evening Post:May 1992:. Vol. 264, Iss. 3;  pg. 28, 5 pgs:
53750	 4,664 	FIC	1993	The boy from Moogradi and the woman with the map to Kolooltopec	Rooke, Leon	Ploughshares:: Winter93/94, Vol. 19 Issue 4, p60, 16p:
53950	 3,299 	FIC	1994	From the Dust Returned	Bradbury, Ray	Fantasy & Science Fiction:: Sep94, Vol. 87 Issue 3, p33, 11p, 1bw:
52950	 3,260 	FIC	1995	Only a housewife	Elgin, Suzette Haden	Fantasy & Science Fiction:: Sep95, Vol. 89 Issue 3, p36, 8p:
54250	 3,192 	FIC	1996	Why the Bridge Stopped Singing	Kelly, James Patrick	Fantasy & Science Fiction:: Sep96, Vol. 91 Issue 3, p47, 10p:
43250	 3,843 	FIC	1998	Harry Ginsberg	Charles Baxter	Ploughshares:Fall 1998:. Vol. 24, Iss. 2/3;  pg. 204, 11 pgs:
30150	 1,994 	FIC	1998	Election : a novel /	Perrotta, Tom, 1961- 	New York : G.P. Putnam's Sons,
28850	 949 	FIC	1998	Skeleton canyon : a Joanna Brady mystery /	Jance, Judith A. 	New York : Avon Books,
32350	 2,232 	FIC	1999	Bite /	Laymon, Richard. 	New York City : Leisure Books,
44250	 3,058 	FIC	1999	You May Already Be a Winner	Stephen L Burns	Analog Science Fiction &amp; Fact:Dec 1999:. Vol. 119, Iss. 12;  pg. 70, 6 pgs:
44350	 2,208 	FIC	1999	Viva la causa!	Jaime Lucero	Scholastic Action:Oct 4, 1999:. Vol. 23, Iss. 3;  pg. 6, 9 pgs:
44750	 3,991 	FIC	1999	We Are the Dead..	India Edghill	Fantasy &amp; Science Fiction:Apr 1999:. Vol. 96, Iss. 4;  pg. 55, 11 pgs:
45250	 5,656 	FIC	1999	Carnevale: The first night	Gladys Swan	Literary Review:Spring 1999:. Vol. 42, Iss. 3;  pg. 433, 14 pgs:
55350	 4,083 	FIC	1999	Remaining in Favor	Bossert, Jill	Ploughshares:: Fall99, Vol. 25 Issue 2/3, p9, 11p:
30250	 4,429 	FIC	2000	Fiona Range /	Morris, Mary McGarry. 	New York : Viking,
27350	 1,873 	FIC	2000	Letters from Yellowstone /	Smith, Diane, 1949- 	New York : Penguin Books,
27750	 4,086 	FIC	2001	Plan B /	Tropper, Jonathan. 	New York : St. Martin's Griffin, Edition: 1st St. Martin's Griffin ed.
14550	 11,133 	FIC	2001	Description Beggared, or the Allegory of Whiteness	Wellman, Mac, 1945-	[Play script]
46650	 5,286 	FIC	2002	The Unfamiliar	Jerry Oltion	Fantasy &amp; Science Fiction:Dec 2002:. Vol. 103, Iss. 6;  pg. 113, 14 pgs:
47050	 7,989 	FIC	2002	Chichen Itza	Alex Irvine	Fantasy &amp; Science Fiction:May 2002:. Vol. 102, Iss. 5;  pg. 39, 22 pgs:
28650	 231 	FIC	2002	Emily Dickinson's letters to the world /	Winter, Jeanette.  Dickinson, Emily,; 1830-1886. 	New York : Frances Foster Books, Edition: 1st ed.
31350	 2,367 	FIC	2002	Alternate generals II /	Turtledove, Harry. 	Riverdale, NY : Baen ; New York : Distributed by Simon &amp; Schuster,
31050	 2,717 	FIC	2002	Mirage /	Passman, Donald S. 	Leicester : Ulverscroft, Edition: Large print ed.
28450	 1,406 	FIC	2003	Protecting the princess /	Forsythe, Patricia, author. 	New York, NY : Silhouette Books,
47950	 6,482 	FIC	2003	Intervention	Jill McCorkle	Ploughshares:Fall 2003:. Vol. 29, Iss. 2/3;  pg. 128:
49050	 19,563 	FIC	2004	Sergeant Chip	Bradley Denton	Fantasy &amp; Science Fiction:Sep 2004:. Vol. 107, Iss. 3;  pg. 53, 46 pgs:
29450	 2,404 	FIC	2004	Acts of God /	BeauSeigneur, James. 	[New York] : Warner Books,
29550	 2,314 	FIC	2004	Soul circus /	Pelecanos, George P. 	New York : Warner Vision Books, Edition: Warner Books ed.
27150	 932 	FIC	2004	Sacrifice /	Phillips, Clyde. 	New York : HarperTorch, Edition: 1st HarperTorch pbk.
28150	 1,240 	FIC	2004	Trials of death /	Shan, Darren. 	New York : Little, Brown, Edition: 1st U.S. ed.
28550	 1,005 	FIC	2004	John Riley's girl /	Cooper, Inglath. 	Toronto ; New York : Harlequin,
31750	 1,300 	FIC	2004	The prize /	Joyce, Brenda. 	Don Mills, ON : MIRA,
26450	 481 	FIC	2004	To scratch a thief : a novel /	Weinman, Brad, ; (Illustrator)	New York :; HarperCollins, Edition: 1st ed.
